Bagalkote, 16.12, 75.45
Bangalore Rural, 12.58, 77.38
Bangalore Urban, 12.9716, 77.5946
Belagavi, 15.52, 74.34
Bellary, 15.09, 76.55
Bidar, 17.55, 77.39
Bijapur, 16.50, 75.47
Chamarajanagar, 11.56, 77.00
Chikkballapur, 13.26, 77.46
Chikkamagaluru, 13.18, 75.49
Chitradurga, 14.14, 76.26
Dakshina Kannada, 12.8438, 75.2479
Davangere, 14.31, 75.58
Dharwad, 15.27, 75.05
Gadag, 15.25, 75.42
Gulbarga, 17.19, 76.54
Hassan, 13.01, 76.10
Haveri,14.7951, 75.3991
Hubli, 15.20, 75.12
Kodagu, 12.3375, 75.8069
Kolar, 13.09, 78.11
Koppal, 15.20, 76.13
Mandya, 12.5218, 76.8951
Mysore, 12.18, 76.42
Ramanagara, 12.54, 78.02
Raichur, 16.2160, 77.3566
Sirsi, 14.6196, 74.8441
Shivmogga, 13.56, 75.38
Tumkur, 13.20, 77.08
Udupi, 13.20, 74.45
Uttara Kannada, 14.7937, 74.6869
